code	color	name	mainType	tissue	children	parent	level
PCGP	Gray	Craniopharyngioma	Sellar Tumor	CNS/Brain	{}	SELT	3
SCCO	LightBlue	Small Cell Carcinoma of the Ovary	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
LGT	Green	Lacrimal Gland Tumor	Lacrimal Gland Tumor	Eye	{}	EYE	2
GBM	Gray	Glioblastoma Multiforme	Glioma	CNS/Brain	{}	GB	4
BL	LimeGreen	Burkitt Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
MFS	LightYellow	Myxofibrosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
AN	Black	Atypical Nevus	Skin Cancer	Skin	{}	SKIN	2
SELT	Gray	Sellar Tumor	Sellar Tumor	CNS/Brain	{}	BRAIN	2
AMOL	LightSalmon	Acute Monoblastic/Monocytic Leukemia	Leukemia	Myeloid	{}	AMLNOS	5
PERL	LightSalmon	Pure Erythroid Leukemia	Leukemia	Myeloid	{}	AMLNOS	5
AMLCEBPA	LightSalmon	AML with Biallelic Mutations of CEBPA	Leukemia	Myeloid	{}	AMLRGA	5
UASC	PeachPuff	Uterine Adenosquamous Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
LNM	LimeGreen	Lymphoid Neoplasm	Lymphatic Cancer	Lymphoid	{}	LYMPH	2
PXA	Gray	Pleomorphic Xanthoastrocytoma	Glioma	CNS/Brain	{}	ENCG	3
PMBL	LimeGreen	Primary Mediastinal (Thymic) Large B-Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
BIALCL	LimeGreen	Breast Implant-Associated Anaplastic Large-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	ALCL	6
SRAP	SaddleBrown	Signet Ring Cell Type of the Appendix	Appendiceal Cancer	Bowel	{}	APAD	3
LXSC	DarkRed	Larynx Squamous Cell Carcinoma	Head and Neck Cancer	Head and Neck	{}	HNSC	3
ADRENAL_GLAND	Purple	Adrenal Gland	Adrenal Gland Cancer	Adrenal Gland	{}	TISSUE	1
WM	LimeGreen	Waldenstrom Macroglobulinemia	Mature B-Cell Neoplasms	Lymphoid	{}	LPL	6
RHM	Gray	Rhabdoid Meningioma	CNS Cancer	CNS/Brain	{}	MNGT	3
WDLS	LightYellow	Well-Differentiated Liposarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	LIPO	3
PEMESO	Green	Peritoneal Mesothelioma	Mesothelioma	Peritoneum	{}	PERITONEUM	2
CNL	LightSalmon	Chronic Neutrophilic Leukemia	Myeloproliferative Neoplasms	Myeloid	{}	MPN	4
HNSC	DarkRed	Head and Neck Squamous Cell Carcinoma	Head and Neck Cancer	Head and Neck	{}	HEAD_NECK	2
BLLRGA	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with Recurrent Genetic Abnormalities	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLL	4
DESM	Black	Desmoplastic Melanoma	Melanoma	Skin	{}	MEL	3
OEC	LightBlue	Embryonal Carcinoma	Germ Cell Tumor	Ovary/Fallopian Tube	{}	OGCT	3
SCLC	Gainsboro	Small Cell Lung Cancer	Small Cell Lung Cancer	Lung	{}	LNET	3
EMPSGC	Black	Endocrine Mucin Producing Sweat Gland Carcinoma	Skin Cancer	Skin	{}	SKIN	2
ACBC	HotPink	Adenoid Cystic Breast Cancer	Breast Cancer	Breast	{}	BRCA	3
OPHSC	DarkRed	Oropharynx Squamous Cell Carcinoma	Head and Neck Cancer	Head and Neck	{}	HNSC	3
CERMS	Teal	Cervical Rhabdomyosarcoma	Cervical Cancer	Cervix	{}	CERVIX	2
GCEMU	Teal	Gastric Type Mucinous Carcinoma	Cervical Cancer	Cervix	{}	CEMU	4
ENCG	Gray	Encapsulated Glioma	Glioma	CNS/Brain	{}	BRAIN	2
PTLD	LimeGreen	Posttransplant Lymphoproliferative Disorders	Posttransplant Lymphoproliferative Disorders	Lymphoid	{}	LNM	3
SUBE	Gray	Subependymoma	CNS Cancer	CNS/Brain	{}	EPMT	3
SCGBC	Green	Small Cell Gallbladder Carcinoma	Hepatobiliary Cancer	Biliary Tract	{}	GBC	3
FIOS	White	Fibroblastic Osteosarcoma	Bone Cancer	Bone	{}	OS	3
HGSOC	LightBlue	High-Grade Serous Ovarian Cancer	Ovarian Cancer	Ovary/Fallopian Tube	{}	SOC	4
THHC	Teal	Hurthle Cell Thyroid Cancer	Thyroid Cancer	Thyroid	{}	THYROID	2
LUNE	Gainsboro	Large Cell Neuroendocrine Carcinoma	Non-Small Cell Lung Cancer	Lung	{}	LNET	3
MGUSIGG	LimeGreen	IgG	Mature B-Cell Neoplasms	Lymphoid	{}	MGUS	6
UPDC	PeachPuff	Poorly Differentiated Carcinoma of the Uterus	Endometrial Cancer	Uterus	{}	UCEC	3
OGBL	LightBlue	Gonadoblastoma	Sex Cord Stromal Tumor	Ovary/Fallopian Tube	{}	SCST	3
CCPRC	Orange	Clear Cell Papillary Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
PSC	Purple	Serous Cystadenoma of the Pancreas	Pancreatic Cancer	Pancreas	{}	PACT	3
RSCC	Orange	Renal Small Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
BCCA	Gray	Choriocarcinoma	Germ Cell Tumor	CNS/Brain	{}	BGCT	3
SRCBC	Yellow	Plasmacytoid/Signet Ring Cell Bladder Carcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
PEL	LimeGreen	Primary Effusion Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
CCS	LightYellow	Clear Cell Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
UPA	Yellow	Urothelial Papilloma	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
MFH	LightYellow	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
FIBS	LightYellow	Fibrosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
COM	HotPink	Carcinoma with Osseous Metaplasia	Breast Cancer	Breast	{}	MMBC	4
BMGCT	Gray	Mixed Germ Cell Tumor	Germ Cell Tumor	CNS/Brain	{}	BGCT	3
PVMF	LightSalmon	Polycythaemia Vera Myelofibrosis	Myeloproliferative Neoplasms	Myeloid	{}	PV	5
SCHW	Gray	Schwannoma	Nerve Sheath Tumor	Peripheral Nervous System	{}	NST	3
BTBEOV	LightBlue	Brenner Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	BTOV	4
CERVIX	Teal	Cervix	Cervical Cancer	Cervix	{}	TISSUE	1
SIC	SaddleBrown	Small Intestinal Carcinoma	Small Bowel Cancer	Bowel	{}	BOWEL	2
NSCHL	LimeGreen	Nodular Sclerosis Classical Hodgkin Lymphoma	Hodgkin Lymphoma	Lymphoid	{}	CHL	5
NSCLC	Gainsboro	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Lung	{}	LUNG	2
OGCT	LightBlue	Ovarian Germ Cell Tumor	Germ Cell Tumor	Ovary/Fallopian Tube	{}	OVARY	2
CEVG	Teal	Villoglandular Carcinoma	Cervical Cancer	Cervix	{}	CEAD	3
MAC	Black	Microcystic Adnexal Carcinoma	Skin Cancer	Skin	{}	SKIN	2
VDYS	Purple	Dysgerminoma	Germ Cell Tumor	Vulva/Vagina	{}	VGCT	3
PHCH	Green	Perihilar Cholangiocarcinoma	Hepatobiliary Cancer	Biliary Tract	{}	CHOL	3
BPLL	LimeGreen	B-Cell Prolymphocytic Leukemia	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
GMN	Gray	Germinoma	Germ Cell Tumor	CNS/Brain	{}	BGCT	3
GCTSTM	Red	Germ Cell Tumor with Somatic-Type Malignancy	Germ Cell Tumor	Testis	{}	NSGCT	3
BCAC	DarkRed	Basal Cell Adenocarcinoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
OM	Green	Ocular Melanoma	Melanoma	Eye	{}	EYE	2
BPSCC	Blue	Basaloid Penile Squamous Cell Carcinoma	Penile Cancer	Penis	{}	PSCC	3
BLL	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	LNM	3
PCNSMT	Gray	Primary CNS Melanocytic Tumors	Primary CNS Melanocytic Tumors	CNS/Brain	{}	BRAIN	2
MLNFGFR1	LightSalmon	Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement	Leukemia	Myeloid	{}	MLNER	4
OSMBT	LightBlue	Ovarian Seromucinous Borderline Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
MDSID5Q	LightSalmon	MDS with Isolated Del(5q)	Myelodysplastic Syndromes	Myeloid	{}	MDS	4
PHPTLD	LimeGreen	Plasmacytic Hyperplasia PTLD	Posttransplant Lymphoproliferative Disorders	Lymphoid	{}	PTLD	4
ASPS	LightYellow	Alveolar Soft Part Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
NETNOS	Black	Neuroendocrine Tumor	Cancer of Unknown Primary	Other	{}	CUP	3
IOPN	Purple	Intraductal Oncocytic Papillary Neoplasm	Pancreatic Cancer	Pancreas	{}	PACT	3
AMPULLA_OF_VATER	Purple	Ampulla of Vater	Ampullary Carcinoma	Ampulla of Vater	{}	TISSUE	1
MPALBCRABL1	LightSalmon	Mixed Phenotype Acute Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1	Leukemia	Myeloid	{}	ALAL	4
MCBCL	LimeGreen	Monoclonal B-Cell Lymphocytosis	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
ALKLBCL	LimeGreen	ALK Positive Large B-Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
EATL	LimeGreen	Enteropathy-Associated T-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
BLADDER	Yellow	Bladder/Urinary Tract	Bladder/Urinary Tract Cancer	Bladder/Urinary Tract	{}	TISSUE	1
TCCA	Red	Choriocarcinoma	Germ Cell Tumor	Testis	{}	NSGCT	3
MMBL	Gray	Melanotic Medulloblastoma	Embryonal Tumor	CNS/Brain	{}	EMBT	3
SWDNET	LightSkyBlue	Well-Differentiated Neuroendocrine Tumors of the Stomach	Gastrointestinal Neuroendocrine Tumor	Esophagus/Stomach	{}	GINETES	3
MUCC	DarkRed	Mucoepidermoid Carcinoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
USTUMP	PeachPuff	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential	Uterine Sarcoma	Uterus	{}	USMT	4
USARC	PeachPuff	Uterine Sarcoma/Mesenchymal	Uterine Sarcoma	Uterus	{}	UTERUS	2
OCS	LightBlue	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
CMPT	Gainsboro	Ciliated Muconodular Papillary Tumor of the Lung	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
DSRCT	LightYellow	Desmoplastic Small-Round-Cell Tumor	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
ALUCA	Gainsboro	Atypical Lung Carcinoid	Non-Small Cell Lung Cancer	Lung	{}	LNET	3
SPTCL	LimeGreen	Subcutaneous Panniculitis-Like T-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
SPC	HotPink	Solid Papillary Carcinoma of the Breast	Breast Cancer	Breast	{}	BRCA	3
EBOV	LightBlue	Endometrioid Borderlin Ovarian Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
THPD	Teal	Poorly Differentiated Thyroid Cancer	Thyroid Cancer	Thyroid	{}	THYROID	2
SGO	DarkRed	Salivary Gland Oncocytoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
MBGN	LightSalmon	Myeloid Benign	Blood Cancer	Myeloid	{}	MYELOID	2
MRC	Orange	Renal Medullary Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
CSCHW	Gray	Cellular Schwannoma	Nerve Sheath Tumor	Peripheral Nervous System	{}	SCHW	4
EVN	Gray	Extraventricular Neurocytoma	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
USC	PeachPuff	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
PERITONEUM	Green	Peritoneum	Peritoneal Cancer	Peritoneum	{}	TISSUE	1
NECNOS	Black	Neuroendocrine Carcinoma	Cancer of Unknown Primary	Other	{}	CUP	3
MIDDA	LimeGreen	Amyloidosis	Mature B-Cell Neoplasms	Lymphoid	{}	MIDD	6
WDTC	Teal	Well-Differentiated Thyroid Cancer	Thyroid Cancer	Thyroid	{}	THYROID	2
AHCD	LimeGreen	Alpha Heavy-Chain Disease	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
CSCC	Black	Cutaneous Squamous Cell Carcinoma	Skin Cancer	Skin	{}	SKIN	2
BYST	Gray	Yolk Sac Tumor	Germ Cell Tumor	CNS/Brain	{}	BGCT	3
OSGCT	Purple	Osteoclastic Giant Cell Tumor	Pancreatic Cancer	Pancreas	{}	UCP	3
BLLHYPER	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with Hyperdiploidy	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLLRGA	5
SBOV	LightBlue	Serous Borderline Ovarian Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
EMBCA	Red	Embryonal Carcinoma	Germ Cell Tumor	Testis	{}	NSGCT	3
ADPA	Black	Aggressive Digital Papillary Adenocarcinoma	Skin Cancer	Skin	{}	SKIN	2
LGSOC	LightBlue	Low-Grade Serous Ovarian Cancer	Ovarian Cancer	Ovary/Fallopian Tube	{}	SOC	4
HGESS	PeachPuff	High-Grade Endometrial Stromal Sarcoma	Uterine Sarcoma	Uterus	{}	ESS	4
EBVDLBCLNOS	LimeGreen	EBV Positive DLBCL	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
SEBA	Black	Sebaceous Carcinoma	Skin Cancer	Skin	{}	SKIN	2
BLLIAMP21	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with iAMP21	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLLRGA	5
HNNE	DarkRed	Head and Neck Neuroendocrine Carcinoma	Head and Neck Cancer	Head and Neck	{}	OHNCA	3
MCHS	White	Mesenchymal Chondrosarcoma	Bone Cancer	Bone	{}	CHS	3
NPC	DarkRed	Nasopharyngeal Carcinoma	Head and Neck Cancer	Head and Neck	{}	HEAD_NECK	2
APMF	LightSalmon	Acute Panmyelosis with Myelofibrosis	Leukemia	Myeloid	{}	AMLNOS	5
LGESS	PeachPuff	Low-Grade Endometrial Stromal Sarcoma	Uterine Sarcoma	Uterus	{}	ESS	4
PLSMESO	Blue	Pleural Mesothelioma	Mesothelioma	Pleura	{}	PLMESO	3
HCL-V	LimeGreen	Hairy Cell Leukemia-Variant	Mature B-Cell Neoplasms	Lymphoid	{}	SBLU	6
PPCT	Black	Proliferating Pilar Cystic Tumor	Skin Cancer	Skin	{}	SKIN	2
OMGCT	LightBlue	Mixed Germ Cell Tumor	Germ Cell Tumor	Ovary/Fallopian Tube	{}	OGCT	3
OPE	LightBlue	Polyembryoma	Germ Cell Tumor	Ovary/Fallopian Tube	{}	OGCT	3
TPLL	LimeGreen	T-Cell Prolymphocytic Leukemia	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
TAC	SaddleBrown	Tubular Adenoma of the Colon	Tubular Adenoma of the Colon	Bowel	{}	BOWEL	2
UA	Yellow	Urachal Adenocarcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	URCA	3
CEAD	Teal	Cervical Adenocarcinoma	Cervical Cancer	Cervix	{}	CERVIX	2
ALCLALKN	LimeGreen	Anaplastic Large-Cell Lymphoma ALK Negative	Mature T and NK Neoplasms	Lymphoid	{}	ALCL	6
HEMA	LightYellow	Hemangioma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
CMCD	LightSalmon	Cutaneous Mastocytosis	Mastocytosis	Myeloid	{}	MCD	4
PLLS	LightYellow	Pleomorphic Liposarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	LIPO	3
DDLS	LightYellow	Dedifferentiated Liposarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	LIPO	3
LUMEC	Gainsboro	Mucoepidermoid Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	SGTTL	4
MDLC	HotPink	Breast Mixed Ductal and Lobular Carcinoma	Breast Cancer	Breast	{}	BRCA	3
ISMCL	LimeGreen	In Situ Mantle Cell Neoplasia	Mature B-Cell Neoplasms	Lymphoid	{}	MCL	6
OVT	LightBlue	Ovarian Epithelial Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVARY	2
NSGCT	Red	Non-Seminomatous Germ Cell Tumor	Germ Cell Tumor	Testis	{}	TESTIS	2
OYST	LightBlue	Yolk Sac Tumor	Germ Cell Tumor	Ovary/Fallopian Tube	{}	OGCT	3
SPN	Purple	Solid Pseudopapillary Neoplasm of the Pancreas	Pancreatic Cancer	Pancreas	{}	PANCREAS	2
MDSMPNU	LightSalmon	MDS/MPN	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid	{}	MDS/MPN	4
UMNC	PeachPuff	Uterine Mesonephric Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
IPN	Green	Intraductal Papillary Neoplasm of the Bile Duct	Hepatobiliary Cancer	Biliary Tract	{}	BILIARY_TRACT	2
MNM	LightSalmon	Myeloid Neoplasm	Blood Cancer	Myeloid	{}	MYELOID	2
SDCA	DarkRed	Salivary Duct Carcinoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
AGA	SaddleBrown	Anal Gland Adenocarcinoma	Anal Cancer	Bowel	{}	BOWEL	2
PTFL	LimeGreen	Pediatric-Type Follicular Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
BRSRCC	HotPink	Breast Carcinoma with Signet Ring	Breast Cancer	Breast	{}	BRCA	3
TYST	Red	Yolk Sac Tumor	Germ Cell Tumor	Testis	{}	NSGCT	3
PAAD	Purple	Pancreatic Adenocarcinoma	Pancreatic Cancer	Pancreas	{}	PANCREAS	2
MGCT	Red	Mixed Germ Cell Tumor	Germ Cell Tumor	Testis	{}	NSGCT	3
CECC	Teal	Cervical Clear Cell Carcinoma	Cervical Cancer	Cervix	{}	CEAD	3
LMS	LightYellow	Leiomyosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
AMLBCRABL1	LightSalmon	AML with BCR-ABL1	Leukemia	Myeloid	{}	AMLRGA	5
MPN	LightSalmon	Myeloproliferative Neoplasms	Myeloproliferative Neoplasms	Myeloid	{}	MNM	3
SGAD	Black	Sweat Gland Adenocarcinoma	Skin Cancer	Skin	{}	SKIN	2
SCBC	Yellow	Small Cell Bladder Cancer	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
DIG	Gray	Desmoplastic Infantile Ganglioglioma	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
DMBL	Gray	Desmoplastic/Nodular Medulloblastoma	Embryonal Tumor	CNS/Brain	{}	EMBT	3
MRT	Orange	Rhabdoid Cancer	Rhabdoid Cancer	Kidney	{}	KIDNEY	2
IMTB	Yellow	Inflammatory Myofibroblastic Bladder Tumor	Bladder Cancer	Bladder/Urinary Tract	{}	BLADDER	2
MELC	Gray	Melanocytoma	Melanocytoma	CNS/Brain	{}	PCNSMT	3
BLLETV6RUNX1	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLLRGA	5
LDCHL	LimeGreen	Lymphocyte-Depleted Classical Hodgkin Lymphoma	Hodgkin Lymphoma	Lymphoid	{}	CHL	5
APXA	Gray	Anaplastic Pleomorphic Xanthoastrocytoma	Glioma	CNS/Brain	{}	ENCG	3
CCHM	HotPink	Carcinoma with Chondroid Metaplasia	Breast Cancer	Breast	{}	MMBC	4
PINC	Gray	Pineocytoma	Pineal Tumor	CNS/Brain	{}	PINT	3
AMLRGA	LightSalmon	AML with Recurrent Genetic Abnormalities	Leukemia	Myeloid	{}	AML	4
MT	Gray	Malignant Tumor	Miscellaneous Brain Tumor	CNS/Brain	{}	MBT	3
MCSL	LightSalmon	Mast Cell Sarcoma	Mastocytosis	Myeloid	{}	MCD	4
BMGT	Gray	Malignant Teratoma	Germ Cell Tumor	CNS/Brain	{}	BGCT	3
SPB	LimeGreen	Solitary Plasmacytoma of Bone	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
CCM	Gray	Clear cell Meningioma	CNS Cancer	CNS/Brain	{}	MNGT	3
SM	LightSalmon	Systemic Mastocytosis	Mastocytosis	Myeloid	{}	MCD	4
LECLC	Gainsboro	Lymphoepithelioma-like Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	LCLC	4
BCLU	LimeGreen	B-Cell Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
BLLHYPO	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLLRGA	5
CUPNOS	Black	Cancer of Unknown Primary	Cancer of Unknown Primary	Other	{}	CUP	3
LIMNET	MediumSeaGreen	Malignant Nonepithelial Tumor of the Liver	Hepatobiliary Cancer	Liver	{}	LIVER	2
IFS	LightYellow	Infantile Fibrosarcoma	Infantile Fibrosarcoma	Soft Tissue	{}	SOFT_TISSUE	2
RMS	LightYellow	Rhabdomyosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
OCNOS	LightBlue	Ovarian Choriocarcinoma	Ovarian Cancer	Ovary/Fallopian Tube	{}	OOVC	3
THPA	Teal	Papillary Thyroid Cancer	Thyroid Cancer	Thyroid	{}	WDTC	3
CHRCC	Orange	Chromophobe Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
PNS	Gray	Peripheral Nervous System	Peripheral Nervous System Cancer	Peripheral Nervous System	{}	TISSUE	1
ANM	Gray	Anaplastic Meningioma	CNS Cancer	CNS/Brain	{}	MNGT	3
PLBL	LimeGreen	Plasmablastic Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
LAIS	Gainsboro	Lung Adenocarcinoma In Situ	Non-Small Cell Lung Cancer	Lung	{}	LUNG	2
UEC	PeachPuff	Uterine Endometrioid Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
SFTCNS	Gray	Solitary Fibrous Tumor of the Central Nervous System	CNS Cancer	CNS/Brain	{}	MNGT	3
ENKL	LimeGreen	Extranodal NK-/T-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
VMA	Purple	Mucinous Adenocarcinoma of the Vulva/Vagina	Vulvar Carcinoma	Vulva/Vagina	{}	VULVA	2
ASTR	Gray	Astrocytoma	Glioma	CNS/Brain	{}	DIFG	3
CMML	LightSalmon	Chronic Myelomonocytic Leukemia	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid	{}	MDS/MPN	4
VA	Purple	Vaginal Adenocarcinoma	Vaginal Cancer	Vulva/Vagina	{}	VULVA	2
GNBL	Gray	Ganglioneuroblastoma	Peripheral Nervous System	Peripheral Nervous System	{}	PNS	2
ICPN	Green	Intracholecystic Papillary Neoplasm	Hepatobiliary Cancer	Biliary Tract	{}	BILIARY_TRACT	2
MDSMD	LightSalmon	MDS with Multilineage Dysplasia	Myelodysplastic Syndromes	Myeloid	{}	MDS	4
MIDDO	LimeGreen	Monoclonal Immunoglobulin Deposition Diseases	Mature B-Cell Neoplasms	Lymphoid	{}	MIDD	6
MOV	LightBlue	Mucinous Ovarian Cancer	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
TNET	Purple	Thymic Neuroendocrine Tumor	Thymic Tumor	Thymus	{}	THYMUS	2
GNC	Gray	Gangliocytoma	Glioma	CNS/Brain	{}	ENCG	3
APE	Gray	Anaplastic Ependymoma	CNS Cancer	CNS/Brain	{}	EPMT	3
CCHDM	White	Conventional Type Chordoma	Bone Cancer	Bone	{}	CHDM	3
BTBOV	LightBlue	Brenner Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	BTOV	4
GSARC	Gray	Gliosarcoma	Glioma	CNS/Brain	{}	GB	4
PTCL	LimeGreen	Peripheral T-Cell lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
CTAAP	SaddleBrown	Colonic Type Adenocarcinoma of the Appendix	Appendiceal Cancer	Bowel	{}	APAD	3
BGCT	Gray	Germ Cell Tumor	Germ Cell Tumor	CNS/Brain	{}	BRAIN	2
RBL	Green	Retinoblastoma	Retinoblastoma	Eye	{}	EYE	2
SPCC	Gainsboro	Spindle Cell Carcinoma of the Lung	Non-Small Cell Lung Cancer	Lung	{}	NSCLC	3
ANGL	Gray	Angiocentric Glioma	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
AMLRARA	LightSalmon	AML with Variant RARA translocation	Leukemia	Myeloid	{}	AMLRGA	5
NST	Gray	Nerve Sheath Tumor	Nerve Sheath Tumor	Peripheral Nervous System	{}	PNS	2
